sample1 sample2 subject1 subject2 hh1 hh2 keyTimepoint species shared
XQA-036 XQB-036 XQA XQB XQ XQ post-abx Bacteroides_stercoris_56735 TRUE
XQA-064 XQB-064 XQA XQB XQ XQ final Bacteroides_stercoris_56735 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Bacteroides_stercoris_56735 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Bacteroides_stercoris_56735 FALSE
XUA-036 XUB-036 XUA XUB XU XU post-abx Bacteroides_stercoris_56735 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bacteroides_stercoris_56735 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XDA-036 XDB-036 XDA XDB XD XD post-abx Bacteroides_thetaiotaomicron_56941 FALSE
XDA-064 XDB-064 XDA XDB XD XD final Bacteroides_thetaiotaomicron_56941 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Bacteroides_thetaiotaomicron_56941 FALSE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XFA-064 XFB-064 XFA XFB XF XF final Bacteroides_thetaiotaomicron_56941 FALSE
XGA-001 XGB-001 XGA XGB XG XG initial Bacteroides_thetaiotaomicron_56941 FALSE
XGA-001 XGC-001 XGA XGC XG XG initial Bacteroides_thetaiotaomicron_56941 FALSE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XGA-029 XGC-029 XGA XGC XG XG pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XGA-036 XGB-036 XGA XGB XG XG post-abx Bacteroides_thetaiotaomicron_56941 FALSE
XGA-036 XGC-037 XGA XGC XG XG post-abx Bacteroides_thetaiotaomicron_56941 FALSE
XGA-064 XGB-064 XGA XGB XG XG final Bacteroides_thetaiotaomicron_56941 FALSE
XGA-064 XGC-064 XGA XGC XG XG final Bacteroides_thetaiotaomicron_56941 FALSE
XGB-001 XGC-001 XGB XGC XG XG initial Bacteroides_thetaiotaomicron_56941 FALSE
XGB-029 XGC-029 XGB XGC XG XG pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XGB-036 XGC-037 XGB XGC XG XG post-abx Bacteroides_thetaiotaomicron_56941 FALSE
XGB-064 XGC-064 XGB XGC XG XG final Bacteroides_thetaiotaomicron_56941 FALSE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XHA-064 XHB-064 XHA XHB XH XH final Bacteroides_thetaiotaomicron_56941 TRUE
XMA-001 XMB-001 XMA XMB XM XM initial Bacteroides_thetaiotaomicron_56941 FALSE
XMA-064 XMB-064 XMA XMB XM XM final Bacteroides_thetaiotaomicron_56941 FALSE
XNA-001 XNB-001 XNA XNB XN XN initial Bacteroides_thetaiotaomicron_56941 FALSE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XPA-002 XPB-008 XPA XPB XP XP initial Bacteroides_thetaiotaomicron_56941 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Bacteroides_thetaiotaomicron_56941 FALSE
XPA-072 XPB-063 XPA XPB XP XP final Bacteroides_thetaiotaomicron_56941 FALSE
XRA-001 XRB-002 XRA XRB XR XR initial Bacteroides_thetaiotaomicron_56941 FALSE
XRA-029 XRB-029 XRA XRB XR XR pre-abx Bacteroides_thetaiotaomicron_56941 FALSE
XRA-036 XRB-036 XRA XRB XR XR post-abx Bacteroides_thetaiotaomicron_56941 FALSE
XRA-064 XRB-059 XRA XRB XR XR final Bacteroides_thetaiotaomicron_56941 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Bacteroides_thetaiotaomicron_56941 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bacteroides_thetaiotaomicron_56941 FALSE
XAA-002 XAC-002 XAA XAC XA XA initial Bacteroides_uniformis_57318 FALSE
XAC-029 XAD-029 XAC XAD XA XA pre-abx Bacteroides_uniformis_57318 FALSE
XBA-001 XBB-001 XBA XBB XB XB initial Bacteroides_uniformis_57318 FALSE
XBA-029 XBB-029 XBA XBB XB XB pre-abx Bacteroides_uniformis_57318 FALSE
XCA-001 XCB-001 XCA XCB XC XC initial Bacteroides_uniformis_57318 FALSE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bacteroides_uniformis_57318 FALSE
XCA-036 XCB-036 XCA XCB XC XC post-abx Bacteroides_uniformis_57318 FALSE
XCA-064 XCB-064 XCA XCB XC XC final Bacteroides_uniformis_57318 FALSE
XDA-001 XDB-001 XDA XDB XD XD initial Bacteroides_uniformis_57318 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Bacteroides_uniformis_57318 FALSE
XDA-036 XDB-036 XDA XDB XD XD post-abx Bacteroides_uniformis_57318 FALSE
XDA-064 XDB-064 XDA XDB XD XD final Bacteroides_uniformis_57318 FALSE
XEA-029 XEB-029 XEA XEB XE XE pre-abx Bacteroides_uniformis_57318 FALSE
XEA-036 XEB-036 XEA XEB XE XE post-abx Bacteroides_uniformis_57318 FALSE
XEA-064 XEB-064 XEA XEB XE XE final Bacteroides_uniformis_57318 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Bacteroides_uniformis_57318 TRUE
XGA-001 XGB-001 XGA XGB XG XG initial Bacteroides_uniformis_57318 FALSE
XGA-001 XGC-001 XGA XGC XG XG initial Bacteroides_uniformis_57318 FALSE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Bacteroides_uniformis_57318 FALSE
XGA-029 XGC-029 XGA XGC XG XG pre-abx Bacteroides_uniformis_57318 FALSE
XGA-036 XGB-036 XGA XGB XG XG post-abx Bacteroides_uniformis_57318 FALSE
XGA-036 XGC-037 XGA XGC XG XG post-abx Bacteroides_uniformis_57318 FALSE
XGA-064 XGB-064 XGA XGB XG XG final Bacteroides_uniformis_57318 FALSE
XGA-064 XGC-064 XGA XGC XG XG final Bacteroides_uniformis_57318 FALSE
XGB-001 XGC-001 XGB XGC XG XG initial Bacteroides_uniformis_57318 TRUE
XGB-029 XGC-029 XGB XGC XG XG pre-abx Bacteroides_uniformis_57318 TRUE
XGB-036 XGC-037 XGB XGC XG XG post-abx Bacteroides_uniformis_57318 TRUE
XGB-064 XGC-064 XGB XGC XG XG final Bacteroides_uniformis_57318 TRUE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bacteroides_uniformis_57318 FALSE
XHA-064 XHC-064 XHA XHC XH XH final Bacteroides_uniformis_57318 FALSE
XIA-002 XIC-008 XIA XIC XI XI initial Bacteroides_uniformis_57318 FALSE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Bacteroides_uniformis_57318 TRUE
XIA-036 XIC-036 XIA XIC XI XI post-abx Bacteroides_uniformis_57318 FALSE
XIA-064 XIC-064 XIA XIC XI XI final Bacteroides_uniformis_57318 TRUE
XLA-001 XLB-001 XLA XLB XL XL initial Bacteroides_uniformis_57318 TRUE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bacteroides_uniformis_57318 TRUE
XLA-036 XLB-036 XLA XLB XL XL post-abx Bacteroides_uniformis_57318 TRUE
XLA-064 XLB-064 XLA XLB XL XL final Bacteroides_uniformis_57318 TRUE
XMA-001 XMB-001 XMA XMB XM XM initial Bacteroides_uniformis_57318 FALSE
XMA-064 XMB-064 XMA XMB XM XM final Bacteroides_uniformis_57318 FALSE
XPA-002 XPB-008 XPA XPB XP XP initial Bacteroides_uniformis_57318 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Bacteroides_uniformis_57318 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Bacteroides_uniformis_57318 FALSE
XPA-072 XPB-063 XPA XPB XP XP final Bacteroides_uniformis_57318 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bacteroides_uniformis_57318 FALSE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bacteroides_uniformis_57318 FALSE
XQA-064 XQB-064 XQA XQB XQ XQ final Bacteroides_uniformis_57318 FALSE
XRA-001 XRB-002 XRA XRB XR XR initial Bacteroides_uniformis_57318 FALSE
XRA-029 XRB-029 XRA XRB XR XR pre-abx Bacteroides_uniformis_57318 FALSE
XRA-036 XRB-036 XRA XRB XR XR post-abx Bacteroides_uniformis_57318 FALSE
XRA-064 XRB-059 XRA XRB XR XR final Bacteroides_uniformis_57318 FALSE
XTA-064 XTB-065 XTA XTB XT XT final Bacteroides_uniformis_57318 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Bacteroides_uniformis_57318 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Bacteroides_uniformis_57318 FALSE
XUA-036 XUB-036 XUA XUB XU XU post-abx Bacteroides_uniformis_57318 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bacteroides_uniformis_57318 FALSE
XAA-002 XAC-002 XAA XAC XA XA initial Bacteroides_vulgatus_57955 FALSE
XAA-002 XAD-003 XAA XAD XA XA initial Bacteroides_vulgatus_57955 FALSE
XAA-029 XAC-029 XAA XAC XA XA pre-abx Bacteroides_vulgatus_57955 FALSE
XAA-029 XAD-029 XAA XAD XA XA pre-abx Bacteroides_vulgatus_57955 FALSE
XAC-002 XAD-003 XAC XAD XA XA initial Bacteroides_vulgatus_57955 FALSE
XAC-029 XAD-029 XAC XAD XA XA pre-abx Bacteroides_vulgatus_57955 FALSE
XAC-036 XAD-036 XAC XAD XA XA post-abx Bacteroides_vulgatus_57955 FALSE
XAC-064 XAD-063 XAC XAD XA XA final Bacteroides_vulgatus_57955 FALSE
XBA-001 XBB-001 XBA XBB XB XB initial Bacteroides_vulgatus_57955 TRUE
XBA-029 XBB-029 XBA XBB XB XB pre-abx Bacteroides_vulgatus_57955 TRUE
XCA-001 XCB-001 XCA XCB XC XC initial Bacteroides_vulgatus_57955 TRUE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bacteroides_vulgatus_57955 TRUE
XCA-036 XCB-036 XCA XCB XC XC post-abx Bacteroides_vulgatus_57955 TRUE
XCA-064 XCB-064 XCA XCB XC XC final Bacteroides_vulgatus_57955 FALSE
XDA-001 XDB-001 XDA XDB XD XD initial Bacteroides_vulgatus_57955 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Bacteroides_vulgatus_57955 FALSE
XEA-001 XEB-001 XEA XEB XE XE initial Bacteroides_vulgatus_57955 FALSE
XEA-029 XEB-029 XEA XEB XE XE pre-abx Bacteroides_vulgatus_57955 FALSE
XEA-064 XEB-064 XEA XEB XE XE final Bacteroides_vulgatus_57955 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Bacteroides_vulgatus_57955 FALSE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Bacteroides_vulgatus_57955 FALSE
XFA-036 XFB-036 XFA XFB XF XF post-abx Bacteroides_vulgatus_57955 TRUE
XFA-064 XFB-064 XFA XFB XF XF final Bacteroides_vulgatus_57955 TRUE
XGA-001 XGB-001 XGA XGB XG XG initial Bacteroides_vulgatus_57955 TRUE
XGA-001 XGC-001 XGA XGC XG XG initial Bacteroides_vulgatus_57955 TRUE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Bacteroides_vulgatus_57955 TRUE
XGA-029 XGC-029 XGA XGC XG XG pre-abx Bacteroides_vulgatus_57955 TRUE
XGA-036 XGB-036 XGA XGB XG XG post-abx Bacteroides_vulgatus_57955 FALSE
XGA-036 XGC-037 XGA XGC XG XG post-abx Bacteroides_vulgatus_57955 TRUE
XGA-064 XGB-064 XGA XGB XG XG final Bacteroides_vulgatus_57955 TRUE
XGA-064 XGC-064 XGA XGC XG XG final Bacteroides_vulgatus_57955 TRUE
XGB-001 XGC-001 XGB XGC XG XG initial Bacteroides_vulgatus_57955 TRUE
XGB-029 XGC-029 XGB XGC XG XG pre-abx Bacteroides_vulgatus_57955 TRUE
XGB-036 XGC-037 XGB XGC XG XG post-abx Bacteroides_vulgatus_57955 TRUE
XGB-064 XGC-064 XGB XGC XG XG final Bacteroides_vulgatus_57955 TRUE
XHA-003 XHB-001 XHA XHB XH XH initial Bacteroides_vulgatus_57955 FALSE
XHA-003 XHC-001 XHA XHC XH XH initial Bacteroides_vulgatus_57955 FALSE
XHA-029 XHB-029 XHA XHB XH XH pre-abx Bacteroides_vulgatus_57955 FALSE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bacteroides_vulgatus_57955 FALSE
XHA-036 XHC-036 XHA XHC XH XH post-abx Bacteroides_vulgatus_57955 FALSE
XHA-064 XHB-064 XHA XHB XH XH final Bacteroides_vulgatus_57955 FALSE
XHA-064 XHC-064 XHA XHC XH XH final Bacteroides_vulgatus_57955 FALSE
XHB-001 XHC-001 XHB XHC XH XH initial Bacteroides_vulgatus_57955 TRUE
XHB-029 XHC-029 XHB XHC XH XH pre-abx Bacteroides_vulgatus_57955 TRUE
XHB-064 XHC-064 XHB XHC XH XH final Bacteroides_vulgatus_57955 TRUE
XIA-002 XIB-002 XIA XIB XI XI initial Bacteroides_vulgatus_57955 FALSE
XIA-002 XIC-008 XIA XIC XI XI initial Bacteroides_vulgatus_57955 FALSE
XIA-029 XIB-029 XIA XIB XI XI pre-abx Bacteroides_vulgatus_57955 FALSE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Bacteroides_vulgatus_57955 FALSE
XIA-036 XIB-036 XIA XIB XI XI post-abx Bacteroides_vulgatus_57955 FALSE
XIA-036 XIC-036 XIA XIC XI XI post-abx Bacteroides_vulgatus_57955 FALSE
XIA-064 XIB-064 XIA XIB XI XI final Bacteroides_vulgatus_57955 FALSE
XIA-064 XIC-064 XIA XIC XI XI final Bacteroides_vulgatus_57955 FALSE
XIB-002 XIC-008 XIB XIC XI XI initial Bacteroides_vulgatus_57955 FALSE
XIB-029 XIC-029 XIB XIC XI XI pre-abx Bacteroides_vulgatus_57955 FALSE
XIB-036 XIC-036 XIB XIC XI XI post-abx Bacteroides_vulgatus_57955 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Bacteroides_vulgatus_57955 FALSE
XKA-001 XKB-001 XKA XKB XK XK initial Bacteroides_vulgatus_57955 TRUE
XKA-029 XKB-029 XKA XKB XK XK pre-abx Bacteroides_vulgatus_57955 TRUE
XKA-064 XKB-064 XKA XKB XK XK final Bacteroides_vulgatus_57955 TRUE
XLA-001 XLB-001 XLA XLB XL XL initial Bacteroides_vulgatus_57955 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bacteroides_vulgatus_57955 FALSE
XLA-036 XLB-036 XLA XLB XL XL post-abx Bacteroides_vulgatus_57955 FALSE
XLA-064 XLB-064 XLA XLB XL XL final Bacteroides_vulgatus_57955 FALSE
XMA-001 XMB-001 XMA XMB XM XM initial Bacteroides_vulgatus_57955 FALSE
XMA-029 XMB-029 XMA XMB XM XM pre-abx Bacteroides_vulgatus_57955 FALSE
XNA-001 XNB-001 XNA XNB XN XN initial Bacteroides_vulgatus_57955 TRUE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Bacteroides_vulgatus_57955 TRUE
XNA-064 XNB-064 XNA XNB XN XN final Bacteroides_vulgatus_57955 TRUE
XOA-001 XOB-001 XOA XOB XO XO initial Bacteroides_vulgatus_57955 TRUE
XOA-029 XOB-028 XOA XOB XO XO pre-abx Bacteroides_vulgatus_57955 TRUE
XOA-036 XOB-036 XOA XOB XO XO post-abx Bacteroides_vulgatus_57955 FALSE
XOA-064 XOB-064 XOA XOB XO XO final Bacteroides_vulgatus_57955 TRUE
XPA-002 XPB-008 XPA XPB XP XP initial Bacteroides_vulgatus_57955 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Bacteroides_vulgatus_57955 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Bacteroides_vulgatus_57955 FALSE
XPA-072 XPB-063 XPA XPB XP XP final Bacteroides_vulgatus_57955 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bacteroides_vulgatus_57955 TRUE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bacteroides_vulgatus_57955 TRUE
XQA-036 XQB-036 XQA XQB XQ XQ post-abx Bacteroides_vulgatus_57955 TRUE
XQA-064 XQB-064 XQA XQB XQ XQ final Bacteroides_vulgatus_57955 TRUE
XRA-001 XRB-002 XRA XRB XR XR initial Bacteroides_vulgatus_57955 FALSE
XRA-029 XRB-029 XRA XRB XR XR pre-abx Bacteroides_vulgatus_57955 FALSE
XRA-036 XRB-036 XRA XRB XR XR post-abx Bacteroides_vulgatus_57955 FALSE
XRA-064 XRB-059 XRA XRB XR XR final Bacteroides_vulgatus_57955 FALSE
XSA-001 XSB-001 XSA XSB XS XS initial Bacteroides_vulgatus_57955 TRUE
XSA-029 XSB-029 XSA XSB XS XS pre-abx Bacteroides_vulgatus_57955 TRUE
XSA-064 XSB-064 XSA XSB XS XS final Bacteroides_vulgatus_57955 TRUE
XTA-001 XTB-001 XTA XTB XT XT initial Bacteroides_vulgatus_57955 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Bacteroides_vulgatus_57955 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Bacteroides_vulgatus_57955 FALSE
XUA-036 XUB-036 XUA XUB XU XU post-abx Bacteroides_vulgatus_57955 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bacteroides_vulgatus_57955 FALSE
XVA-001 XVB-001 XVA XVB XV XV initial Bacteroides_vulgatus_57955 TRUE
XVA-029 XVB-027 XVA XVB XV XV pre-abx Bacteroides_vulgatus_57955 TRUE
XVA-036 XVB-036 XVA XVB XV XV post-abx Bacteroides_vulgatus_57955 TRUE
XVA-064 XVB-064 XVA XVB XV XV final Bacteroides_vulgatus_57955 TRUE
XCA-036 XCB-036 XCA XCB XC XC post-abx Bacteroides_xylanisolvens_57185 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Bacteroides_xylanisolvens_57185 FALSE
XHB-036 XHC-036 XHB XHC XH XH post-abx Bacteroides_xylanisolvens_57185 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bacteroides_xylanisolvens_57185 TRUE
XLA-036 XLB-036 XLA XLB XL XL post-abx Bacteroides_xylanisolvens_57185 TRUE
XLA-064 XLB-064 XLA XLB XL XL final Bacteroides_xylanisolvens_57185 TRUE
XUA-036 XUB-036 XUA XUB XU XU post-abx Bacteroides_xylanisolvens_57185 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bacteroides_xylanisolvens_57185 FALSE
XEA-001 XEB-001 XEA XEB XE XE initial Barnesiella_intestinihominis_62208 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Barnesiella_intestinihominis_62208 FALSE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Barnesiella_intestinihominis_62208 FALSE
XFA-064 XFB-064 XFA XFB XF XF final Barnesiella_intestinihominis_62208 FALSE
XIA-029 XIB-029 XIA XIB XI XI pre-abx Barnesiella_intestinihominis_62208 TRUE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Barnesiella_intestinihominis_62208 FALSE
XIB-029 XIC-029 XIB XIC XI XI pre-abx Barnesiella_intestinihominis_62208 FALSE
XIB-036 XIC-036 XIB XIC XI XI post-abx Barnesiella_intestinihominis_62208 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Barnesiella_intestinihominis_62208 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Barnesiella_intestinihominis_62208 TRUE
XLA-064 XLB-064 XLA XLB XL XL final Barnesiella_intestinihominis_62208 TRUE
XPA-002 XPB-008 XPA XPB XP XP initial Barnesiella_intestinihominis_62208 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Barnesiella_intestinihominis_62208 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Barnesiella_intestinihominis_62208 FALSE
XPA-072 XPB-063 XPA XPB XP XP final Barnesiella_intestinihominis_62208 FALSE
XIA-029 XIB-029 XIA XIB XI XI pre-abx Bifidobacterium_adolescentis_56815 TRUE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Bifidobacterium_adolescentis_56815 FALSE
XIB-029 XIC-029 XIB XIC XI XI pre-abx Bifidobacterium_adolescentis_56815 FALSE
XJA-064 XJB-064 XJA XJB XJ XJ final Bifidobacterium_adolescentis_56815 TRUE
XKA-029 XKB-029 XKA XKB XK XK pre-abx Bifidobacterium_adolescentis_56815 TRUE
XKA-064 XKB-064 XKA XKB XK XK final Bifidobacterium_adolescentis_56815 TRUE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Bifidobacterium_adolescentis_56815 FALSE
XNA-064 XNB-064 XNA XNB XN XN final Bifidobacterium_adolescentis_56815 FALSE
XOA-064 XOB-064 XOA XOB XO XO final Bifidobacterium_adolescentis_56815 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bifidobacterium_adolescentis_56815 TRUE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bifidobacterium_adolescentis_56815 TRUE
XQA-064 XQB-064 XQA XQB XQ XQ final Bifidobacterium_adolescentis_56815 TRUE
XSA-001 XSB-001 XSA XSB XS XS initial Bifidobacterium_adolescentis_56815 FALSE
XSA-029 XSB-029 XSA XSB XS XS pre-abx Bifidobacterium_adolescentis_56815 FALSE
XSA-064 XSB-064 XSA XSB XS XS final Bifidobacterium_adolescentis_56815 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Bifidobacterium_adolescentis_56815 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bifidobacterium_adolescentis_56815 FALSE
XLA-001 XLB-001 XLA XLB XL XL initial Bifidobacterium_bifidum_55065 TRUE
XLA-064 XLB-064 XLA XLB XL XL final Bifidobacterium_bifidum_55065 TRUE
XSA-001 XSB-001 XSA XSB XS XS initial Bifidobacterium_bifidum_55065 FALSE
XSA-029 XSB-029 XSA XSB XS XS pre-abx Bifidobacterium_bifidum_55065 FALSE
XSA-064 XSB-064 XSA XSB XS XS final Bifidobacterium_bifidum_55065 FALSE
XBA-001 XBB-001 XBA XBB XB XB initial Bifidobacterium_longum_57796 TRUE
XBA-029 XBB-029 XBA XBB XB XB pre-abx Bifidobacterium_longum_57796 TRUE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bifidobacterium_longum_57796 FALSE
XCA-036 XCB-036 XCA XCB XC XC post-abx Bifidobacterium_longum_57796 FALSE
XCA-064 XCB-064 XCA XCB XC XC final Bifidobacterium_longum_57796 FALSE
XDA-064 XDB-064 XDA XDB XD XD final Bifidobacterium_longum_57796 TRUE
XGA-064 XGB-064 XGA XGB XG XG final Bifidobacterium_longum_57796 FALSE
XGA-064 XGC-064 XGA XGC XG XG final Bifidobacterium_longum_57796 FALSE
XGB-064 XGC-064 XGB XGC XG XG final Bifidobacterium_longum_57796 FALSE
XHA-064 XHC-064 XHA XHC XH XH final Bifidobacterium_longum_57796 TRUE
XIA-002 XIB-002 XIA XIB XI XI initial Bifidobacterium_longum_57796 TRUE
XIA-029 XIB-029 XIA XIB XI XI pre-abx Bifidobacterium_longum_57796 TRUE
XIA-036 XIB-036 XIA XIB XI XI post-abx Bifidobacterium_longum_57796 TRUE
XIA-064 XIB-064 XIA XIB XI XI final Bifidobacterium_longum_57796 TRUE
XKA-036 XKB-036 XKA XKB XK XK post-abx Bifidobacterium_longum_57796 TRUE
XLA-001 XLB-001 XLA XLB XL XL initial Bifidobacterium_longum_57796 TRUE
XLA-064 XLB-064 XLA XLB XL XL final Bifidobacterium_longum_57796 TRUE
XNA-001 XNB-001 XNA XNB XN XN initial Bifidobacterium_longum_57796 FALSE
XNA-064 XNB-064 XNA XNB XN XN final Bifidobacterium_longum_57796 FALSE
XOA-036 XOB-036 XOA XOB XO XO post-abx Bifidobacterium_longum_57796 FALSE
XPA-002 XPB-008 XPA XPB XP XP initial Bifidobacterium_longum_57796 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Bifidobacterium_longum_57796 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bifidobacterium_longum_57796 FALSE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bifidobacterium_longum_57796 FALSE
XQA-064 XQB-064 XQA XQB XQ XQ final Bifidobacterium_longum_57796 FALSE
XSA-001 XSB-001 XSA XSB XS XS initial Bifidobacterium_longum_57796 TRUE
XSA-029 XSB-029 XSA XSB XS XS pre-abx Bifidobacterium_longum_57796 TRUE
XSA-064 XSB-064 XSA XSB XS XS final Bifidobacterium_longum_57796 TRUE
XUA-001 XUB-001 XUA XUB XU XU initial Bifidobacterium_longum_57796 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Bifidobacterium_longum_57796 FALSE
XUA-036 XUB-036 XUA XUB XU XU post-abx Bifidobacterium_longum_57796 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bifidobacterium_longum_57796 TRUE
XVA-001 XVB-001 XVA XVB XV XV initial Bifidobacterium_longum_57796 FALSE
XVA-064 XVB-064 XVA XVB XV XV final Bifidobacterium_longum_57796 FALSE
XBA-001 XBB-001 XBA XBB XB XB initial Bilophila_wadsworthia_57364 TRUE
XBA-029 XBB-029 XBA XBB XB XB pre-abx Bilophila_wadsworthia_57364 TRUE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Bilophila_wadsworthia_57364 FALSE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bilophila_wadsworthia_57364 FALSE
XHA-036 XHC-036 XHA XHC XH XH post-abx Bilophila_wadsworthia_57364 FALSE
XKA-001 XKB-001 XKA XKB XK XK initial Bilophila_wadsworthia_57364 TRUE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bilophila_wadsworthia_57364 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bilophila_wadsworthia_57364 FALSE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bilophila_wadsworthia_57364 FALSE
XQA-064 XQB-064 XQA XQB XQ XQ final Bilophila_wadsworthia_57364 FALSE
XVA-064 XVB-064 XVA XVB XV XV final Bilophila_wadsworthia_57364 FALSE
XAA-002 XAD-003 XAA XAD XA XA initial Blautia_wexlerae_56130 FALSE
XAC-036 XAD-036 XAC XAD XA XA post-abx Blautia_wexlerae_56130 FALSE
XBA-001 XBB-001 XBA XBB XB XB initial Blautia_wexlerae_56130 FALSE
XBA-029 XBB-029 XBA XBB XB XB pre-abx Blautia_wexlerae_56130 FALSE
XBA-036 XBB-036 XBA XBB XB XB post-abx Blautia_wexlerae_56130 FALSE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Blautia_wexlerae_56130 TRUE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Blautia_wexlerae_56130 FALSE
XGA-064 XGC-064 XGA XGC XG XG final Blautia_wexlerae_56130 FALSE
XHB-029 XHC-029 XHB XHC XH XH pre-abx Blautia_wexlerae_56130 FALSE
XIA-002 XIB-002 XIA XIB XI XI initial Blautia_wexlerae_56130 TRUE
XIA-002 XIC-008 XIA XIC XI XI initial Blautia_wexlerae_56130 TRUE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Blautia_wexlerae_56130 FALSE
XIA-036 XIC-036 XIA XIC XI XI post-abx Blautia_wexlerae_56130 FALSE
XIA-064 XIC-064 XIA XIC XI XI final Blautia_wexlerae_56130 TRUE
XIB-002 XIC-008 XIB XIC XI XI initial Blautia_wexlerae_56130 FALSE
XKA-001 XKB-001 XKA XKB XK XK initial Blautia_wexlerae_56130 TRUE
XKA-029 XKB-029 XKA XKB XK XK pre-abx Blautia_wexlerae_56130 FALSE
XKA-064 XKB-064 XKA XKB XK XK final Blautia_wexlerae_56130 FALSE
