species_id	genome_id	genome_name	taxon_id	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names
Thermotoga_hypogea_44713	1219084.8	Thermotoga hypogea NBRC 106472	1219084	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga hypogea	131567;2;200918;188708;2419;188709;2335;57487;1219084	cellular organisms;Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga;Thermotoga hypogea;Thermotoga hypogea NBRC 106472
Hydrogenovibrio_marinus_44712	1123513.3	Hydrogenovibrio marinus DSM 11271	1123513	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio marinus	131567;2;1224;1236;72273;135616;28884;28885;1123513	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Hydrogenovibrio;Hydrogenovibrio marinus;Hydrogenovibrio marinus DSM 11271
Streptococcus_massiliensis_44717	1194208.3	Streptococcus massiliensis 4401825	1194208	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus massiliensis	131567;2;1239;91061;186826;1300;1301;313439;1194208	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus massiliensis;Streptococcus massiliensis 4401825
Sporomusa_ovata_44718	1123288.4	Sporomusa ovata DSM 2662	1123288	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Sporomusa	Sporomusa ovata	131567;2;1239;909932;909929;31977;2375;2378;1123288	cellular organisms;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Sporomusa;Sporomusa ovata;Sporomusa ovata DSM 2662
Lactobacillus_pobuzihii_59744	1242253.3	Lactobacillus pobuzihii E100301	1242253	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pobuzihii	131567;2;1239;91061;186826;33958;1578;449659;1242253	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus pobuzihii;Lactobacillus pobuzihii E100301 = KCTC 13174
Cystobacter_fuscus_59745	1242864.3	Cystobacter fuscus DSM 2262	1242864	Bacteria	delta/epsilon subdivisions	Deltaproteobacteria	Cystobacterineae	Cystobacteraceae	Cystobacter	Cystobacter fuscus	131567;2;1224;68525;28221;29;80811;39;42;43;1242864	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Cystobacterineae;Cystobacteraceae;Cystobacter;Cystobacter fuscus;Cystobacter fuscus DSM 2262
Campylobacter_concisus_59746	1242965.3	Campylobacter concisus UNSW2	1242965	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	131567;2;1224;68525;29547;213849;72294;194;199;1242965	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus;Campylobacter concisus UNSW2
Campylobacter_concisus_59747	1242966.3	Campylobacter concisus UNSW3	1242966	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	131567;2;1224;68525;29547;213849;72294;194;199;1242966	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus;Campylobacter concisus UNSW3
Streptococcus_mitis_59740	1239793.3	Streptococcus mitis 13/39	1239793	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis	131567;2;1239;91061;186826;1300;1301;28037;1239793	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis;Streptococcus mitis 13/39
Mariniradius_saccharolyticus_59741	1239962.3	Mariniradius saccharolyticus AK6	1239962	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Mariniradius	Mariniradius saccharolyticus	131567;2;68336;976;768503;768507;563798;1245590;1245591;1239962	cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Mariniradius;Mariniradius saccharolyticus;Mariniradius saccharolyticus AK6
Pseudomonas_putida_59742	1240350.3	Pseudomonas putida MTCC 5279	1240350	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	131567;2;1224;1236;72274;135621;286;136845;303;1240350	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;Pseudomonas putida MTCC 5279
Pseudomonas_sp_59743	1240676.3	Pseudomonas sp. PAMC 26793	1240676	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. PAMC 26793	131567;2;1224;1236;72274;135621;286;1240676	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. PAMC 26793
Campylobacter_concisus_59748	1242967.3	Campylobacter concisus UNSW1	1242967	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	131567;2;1224;68525;29547;213849;72294;194;199;1242967	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus;Campylobacter concisus UNSW1
Campylobacter_concisus_59749	1242968.3	Campylobacter concisus UNSWCS	1242968	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	131567;2;1224;68525;29547;213849;72294;194;199;1242968	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus;Campylobacter concisus UNSWCS
Xenorhabdus_bovienii_57960	1397852.3	Xenorhabdus bovienii str. feltiae Florida	1397852	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Xenorhabdus	Xenorhabdus bovienii	131567;2;1224;1236;91347;543;626;40576;1397852	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Xenorhabdus;Xenorhabdus bovienii;Xenorhabdus bovienii str. feltiae Florida
Paenibacillus_sp_57961	867080.3	Paenibacillus sp. IHB B 3415	867080	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. IHB B 3415	131567;2;1239;91061;1385;186822;44249;867080	cellular organisms;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. IHB B 3415
Amycolatopsis_orientalis_57965	1427749.3	Amycolatopsis sp. MJM2582	1427749	Bacteria	Actinobacteria	Actinobacteridae	Pseudonocardineae	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sp. MJM2582	131567;2;201174;1760;85003;2037;85010;2070;1813;1427749	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis sp. MJM2582
Streptococcus_suis_58291	1214205.3	Streptococcus suis YS49	1214205	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214205	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis YS49
Streptococcus_suis_58290	1214157.3	Streptococcus suis 8830	1214157	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214157	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 8830
Clavibacter_michiganensis_58293	1291006.7	Clavibacter cf. michiganensis LMG 26808	1291006	Bacteria	Actinobacteria	Actinobacteridae	Micrococcineae	Microbacteriaceae	Clavibacter	Clavibacter michiganensis	131567;2;201174;1760;85003;2037;85006;85023;1573;28447;1291006	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Clavibacter;Clavibacter michiganensis;Clavibacter cf. michiganensis LMG 26808
Carnobacterium_maltaromaticum_54241	1234679.3	Carnobacterium maltaromaticum LMA28	1234679	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium maltaromaticum	131567;2;1239;91061;186826;186828;2747;2751;1234679	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;Carnobacterium maltaromaticum;Carnobacterium maltaromaticum LMA28
Helicobacter_pylori_58295	1345573.3	Helicobacter pylori SA168A	1345573	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	131567;2;1224;68525;29547;213849;72293;209;210;1345573	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori;Helicobacter pylori SA168A
Streptococcus_infantarius_58294	471872.6	Streptococcus infantarius subsp. infantarius ATCC BAA-102	471872	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius subsp. infantarius	131567;2;1239;91061;186826;1300;1301;102684;150054;471872	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus infantarius;Streptococcus infantarius subsp. infantarius;Streptococcus infantarius subsp. infantarius ATCC BAA-102
Helicobacter_pylori_58297	1159071.3	Helicobacter pylori HP250BFi	1159071	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	131567;2;1224;68525;29547;213849;72293;209;210;1159071	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori;Helicobacter pylori HP250BFi
Bordetella_bronchiseptica_58296	743275.4	Bordetella pertussis B1831	743275	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis	131567;2;1224;28216;80840;506;517;520;743275	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella pertussis;Bordetella pertussis B1831
Streptococcus_agalactiae_58299	1154860.3	Streptococcus agalactiae LMG 14747	1154860	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	131567;2;1239;91061;186826;1300;1301;1311;1154860	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae;Streptococcus agalactiae LMG 14747
Helicobacter_pylori_58298	1159076.3	Helicobacter pylori HP260AFi	1159076	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	131567;2;1224;68525;29547;213849;72293;209;210;1159076	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori;Helicobacter pylori HP260AFi
Marinomonas_ushuaiensis_58929	1122207.3	Marinomonas ushuaiensis DSM 15871	1122207	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas ushuaiensis	131567;2;1224;1236;135619;135620;28253;263818;1122207	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;Marinomonas ushuaiensis;Marinomonas ushuaiensis DSM 15871
Marinococcus_halotolerans_58928	1122203.4	Marinococcus halotolerans DSM 16375	1122203	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Marinococcus	Marinococcus halotolerans	131567;2;1239;91061;1385;186817;1370;301092;1122203	cellular organisms;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Marinococcus;Marinococcus halotolerans;Marinococcus halotolerans DSM 16375
Enterobacteriaceae_bacterium_59520	1214065.3	Enterobacteriaceae bacterium B14	1214065	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae		Enterobacteriaceae bacterium B14	131567;2;1224;1236;91347;543;191675;36866;1214065	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;unclassified Enterobacteriaceae;unclassified Enterobacteriaceae (miscellaneous);Enterobacteriaceae bacterium B14
Streptomyces_davawensis_59521	1214101.3	Streptomyces davawensis JCM 4913	1214101	Bacteria	Actinobacteria	Actinobacteridae	Streptomycineae	Streptomycetaceae	Streptomyces	Streptomyces davawensis	131567;2;201174;1760;85003;2037;85011;2062;1883;348043;1214101	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces;Streptomyces davawensis;Streptomyces davawensis JCM 4913
Streptococcus_suis_59522	1214150.3	Streptococcus suis 161_00P5	1214150	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214150	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 161_00P5
Streptococcus_suis_59523	1214158.3	Streptococcus suis 10581	1214158	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214158	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 10581
Streptococcus_suis_59524	1214161.3	Streptococcus suis 2726	1214161	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214161	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 2726
Streptococcus_suis_59525	1214167.3	Streptococcus suis 14A	1214167	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214167	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 14A
Streptococcus_suis_59526	1214168.3	Streptococcus suis S22	1214168	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214168	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 88-1861
Streptococcus_suis_59527	1214170.3	Streptococcus suis S24	1214170	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214170	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 88-5299A
Streptococcus_suis_59528	1214173.3	Streptococcus suis 89-5259	1214173	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214173	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 89-5259
Streptococcus_suis_59529	1214175.3	Streptococcus suis 92-1191	1214175	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	131567;2;1239;91061;186826;1300;1301;1307;1214175	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis;Streptococcus suis 92-1191
Lactobacillus_mali_58435	1046596.4	Lactobacillus mali KCTC 3596 = DSM 20444	1046596	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mali	131567;2;1239;91061;186826;33958;1578;1618;1046596	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus mali;Lactobacillus mali KCTC 3596 = DSM 20444
Lactobacillus_suebicus_58434	1046595.4	Lactobacillus suebicus KCTC 3549	1046595									
Lactobacillus_versmoldensis_58437	1046598.4	Lactobacillus versmoldensis KCTC 3814	1046598									
Lactobacillus_zeae_58436	1046597.4	Lactobacillus zeae KCTC 3804	1046597									
Brachyspira_intermedia_58431	1045858.4	Brachyspira intermedia PWS/A	1045858	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Brachyspiraceae	Brachyspira	Brachyspira intermedia	131567;2;203691;203692;136;143786;29521;84377;1045858	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Brachyspiraceae;Brachyspira;Brachyspira intermedia;Brachyspira intermedia PWS/A
Pseudoxanthomonas_spadix_58430	1045855.3	Pseudoxanthomonas spadix BD-a59	1045855	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas spadix	131567;2;1224;1236;135614;32033;83618;415229;1045855	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas spadix;Pseudoxanthomonas spadix BD-a59
Lactobacillus_malefermentans_58433	1046594.4	Lactobacillus malefermentans KCTC 3548	1046594									
Serratia_sp_58432	104623.3	Serratia sp. ATCC 39006	104623	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia sp. ATCC 39006	131567;2;1224;1236;91347;543;613;104623	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;Serratia sp. ATCC 39006
Bizionia_argentinensis_58439	1046627.3	Bizionia argentinensis JUB59	1046627	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bizionia	Bizionia argentinensis	131567;2;68336;976;117743;200644;49546;283785;456455;1046627	cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Bizionia;Bizionia argentinensis;Bizionia argentinensis JUB59
Lactobacillus_acidipiscis_58438	1046599.3	Lactobacillus acidipiscis KCTC 13900	1046599	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidipiscis	131567;2;1239;91061;186826;33958;1578;89059;1046599	cellular organisms;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus acidipiscis;Lactobacillus acidipiscis KCTC 13900
Actinomyces_sp_62277	762963.3	Actinomyces sp. oral taxon 170 str. F0386	762963	Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces sp. oral taxon 170	131567;2;201174;1760;85003;2037;85005;2049;1654;712117;762963	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 170;Actinomyces sp. oral taxon 170 str. F0386
Sulfurospirillum_barnesii_62268	760154.4	Sulfurospirillum barnesii SES-3	760154	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	Sulfurospirillum barnesii	131567;2;1224;68525;29547;213849;72294;57665;44674;760154	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Sulfurospirillum;Sulfurospirillum barnesii;Sulfurospirillum barnesii SES-3
Achromobacter_xylosoxidans_62275	762376.5	Achromobacter xylosoxidans A8	762376	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	131567;2;1224;28216;80840;506;222;85698;762376	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans;Achromobacter xylosoxidans A8
Gordonia_bronchialis_61729	526226.8	Gordonia bronchialis DSM 43247	526226	Bacteria	Actinobacteria	Actinobacteridae	Corynebacterineae	Gordoniaceae	Gordonia	Gordonia bronchialis	131567;2;201174;1760;85003;2037;85007;85026;2053;2054;526226	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Gordoniaceae;Gordonia;Gordonia bronchialis;Gordonia bronchialis DSM 43247
Geodermatophilus_obscurus_61728	526225.7	Geodermatophilus obscurus DSM 43160	526225	Bacteria	Actinobacteria	Actinobacteridae	Frankineae	Geodermatophilaceae	Geodermatophilus	Geodermatophilus obscurus	131567;2;201174;1760;85003;2037;85013;85030;1860;1861;526225	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Frankineae;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus;Geodermatophilus obscurus DSM 43160
Ruminococcus_albus_61059	246199.4	Ruminococcus albus 8	246199	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus albus	131567;2;1239;186801;186802;541000;1263;1264;246199	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus albus;Ruminococcus albus 8
Dichelobacter_nodosus_61058	246195.4	Dichelobacter nodosus VCS1703A	246195	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Dichelobacter	Dichelobacter nodosus	131567;2;1224;1236;135615;868;869;870;246195	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Dichelobacter;Dichelobacter nodosus;Dichelobacter nodosus VCS1703A
Sebaldella_termitidis_61725	526218.6	Sebaldella termitidis ATCC 33386	526218	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella	Sebaldella termitidis	131567;2;32066;203490;203491;1129771;32068;826;526218	cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sebaldella;Sebaldella termitidis;Sebaldella termitidis ATCC 33386
Anaerococcus_prevotii_61724	525919.6	Anaerococcus prevotii DSM 20548	525919	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii	131567;2;1239;186801;186802;1570339;165779;33034;525919	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Anaerococcus;Anaerococcus prevotii;Anaerococcus prevotii DSM 20548
Brachyspira_murdochii_61727	526224.6	Brachyspira murdochii DSM 12563	526224	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Brachyspiraceae	Brachyspira	Brachyspira murdochii	131567;2;203691;203692;136;143786;29521;84378;526224	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Brachyspiraceae;Brachyspira;Brachyspira murdochii;Brachyspira murdochii DSM 12563
Pseudomonas_lutea_61054	243924.3	Pseudomonas lutea DSM 17257	243924	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lutea	131567;2;1224;1236;72274;135621;286;243924	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas lutea
Thermanaerovibrio_acidaminovorans_61721	525903.6	Thermanaerovibrio acidaminovorans DSM 6589	525903	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	Thermanaerovibrio acidaminovorans	131567;2;508458;649775;649776;649777;81461;81462;525903	cellular organisms;Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Thermanaerovibrio;Thermanaerovibrio acidaminovorans;Thermanaerovibrio acidaminovorans DSM 6589
Sulfurospirillum_deleyianum_61720	525898.7	Sulfurospirillum deleyianum DSM 6946	525898	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	Sulfurospirillum deleyianum	131567;2;1224;68525;29547;213849;72294;57665;65553;525898	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Sulfurospirillum;Sulfurospirillum deleyianum;Sulfurospirillum deleyianum DSM 6946
Acidimicrobium_ferrooxidans_61723	525909.11	Acidimicrobium ferrooxidans DSM 10331	525909	Bacteria	Actinobacteria	Acidimicrobidae	Acidimicrobineae	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans	131567;2;201174;1760;84992;84993;255726;84994;53634;53635;525909	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Acidimicrobidae;Acidimicrobiales;Acidimicrobineae;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans;Acidimicrobium ferrooxidans DSM 10331
Verrucomicrobium_spinosum_61050	240016.6	Verrucomicrobium spinosum DSM 4136	240016	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium spinosum	131567;2;51290;74201;203494;48461;203557;2735;2736;240016	cellular organisms;Bacteria;Chlamydiae/Verrucomicrobia group;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Verrucomicrobium;Verrucomicrobium spinosum;Verrucomicrobium spinosum DSM 4136 = JCM 18804
Pseudomonas_syringae_60238	1357275.3	Pseudomonas syringae CC1513	1357275	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	131567;2;1224;1236;72274;135621;286;136849;251695;317;1357275	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas syringae group;Pseudomonas syringae group genomosp. 1;Pseudomonas syringae;Pseudomonas syringae CC1513
Helicobacter_canis_60239	1357399.3	Helicobacter canis NCTC 12740	1357399	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canis	131567;2;1224;68525;29547;213849;72293;209;29419;1357399	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter canis;Helicobacter canis NCTC 12740
